"year" "GDPpercap" "Tourists" "Temp" "global_means_urban" "global_means_past" "global_means_crop" "pop_global" "migration" "shipcalls" "import"
1800 NA NA 4.74365591667595 0.000629225352112676 0.0433003521126761 0.0378616197183099 0.97269613597771 75 66 NA
1801 NA NA 4.93622049540284 0.000637676056338028 0.0433954225352113 0.0380144366197183 NA 56 61 NA
1802 NA NA 4.74574963226917 0.000647183098591549 0.0434926056338028 0.0381669014084507 NA 61 87 NA
1803 NA NA 4.92520407624545 0.000657394366197183 0.0435869718309859 0.0383154929577465 NA 87 55 NA
1804 NA NA 4.80451799035075 0.000666549295774648 0.0436827464788732 0.0384707746478873 NA 77 48 NA
1805 NA NA 4.93110622875395 0.000675 0.0437788732394366 0.0386242957746479 NA 70 39 NA
1806 NA NA 4.95469131916764 0.000684507042253521 0.0438697183098592 0.0387774647887324 NA 79 43 NA
1807 NA NA 4.88014120832088 0.000695774647887324 0.0439665492957746 0.0389257042253521 NA 67 40 NA
1808 NA NA 4.74593543671074 0.000704225352112676 0.0440654929577465 0.0390767605633803 NA 66 28 NA
1809 NA NA 4.89260014556351 0.000713732394366197 0.0441612676056338 0.0392320422535211 NA 79 17 NA
1810 NA NA 4.90471773631873 0.000722535211267606 0.044256338028169 0.0393834507042254 1.04259342815971 65 12 NA
1811 NA NA 4.88243982419374 0.000730281690140845 0.0443911971830986 0.0395661971830986 NA 65 10 NA
1812 NA NA 4.9511504121125 0.000738028169014084 0.0445299295774648 0.0397545774647887 NA 85 10 NA
1813 NA NA 4.86350675895812 0.000746830985915493 0.0446683098591549 0.039943661971831 NA 90 7 NA
1814 NA NA 4.70682488791647 0.000754225352112676 0.0448049295774648 0.0401292253521127 NA 79 13 NA
1815 NA NA 4.72537095509472 0.000760211267605634 0.0449411971830986 0.0403179577464789 NA 81 32 NA
1816 NA NA 4.63378626890483 0.000768661971830986 0.0450792253521127 0.0405031690140845 NA 90 64 NA
1817 NA NA 4.72008738145234 0.000776056338028169 0.0452165492957746 0.0406866197183099 NA 74 18 NA
1818 NA NA 4.70692019946875 0.000782042253521127 0.0453517605633803 0.0408771126760563 NA 85 20 NA
1819 NA NA 4.7862770803273 0.000791901408450704 0.0454890845070423 0.0410616197183099 NA 76 38 NA
1820 680.947222222223 NA 4.90254958383741 0.000798943661971831 0.0456281690140845 0.0412471830985916 1.07118114038286 90 49 NA
1821 971.125 NA 4.8223158143461 0.000809154929577465 0.0458242957746479 0.041487676056338 NA 82 46 NA
1822 968.25 NA 4.91979435496035 0.00081830985915493 0.0460197183098592 0.0417232394366197 NA 80 42 NA
1823 989.875 NA 4.93005872927608 0.000828521126760563 0.0462165492957747 0.0419605633802817 NA 85 32 NA
1824 1020.125 NA 5.08179390095177 0.000842605633802817 0.046412676056338 0.0421992957746479 NA 82 39 NA
1825 1022.125 NA 4.8724188808352 0.000851760563380282 0.0466077464788732 0.0424348591549296 NA 110 41 NA
1826 1014.75 NA 4.86460821181538 0.000862676056338028 0.0468045774647887 0.0426718309859155 NA 122 34 NA
1827 1037.5 NA 4.724983496964 0.000872183098591549 0.0470007042253521 0.042912676056338 NA 86 46 7.98109867360611e-05
1828 1068 NA 4.9274654876441 0.000880633802816901 0.0471978873239437 0.0431478873239437 NA 86 68 7.22230944923172e-05
1829 1081.875 NA 4.92595812156799 0.000890140845070423 0.0473915492957746 0.0433848591549296 NA 97 66 6.89852654843292e-05
1830 1084.79166666667 NA 4.84260653182866 0.000899295774647887 0.0475859154929577 0.0436242957746479 1.13972962274224 88 64 6.96751558815212e-05
1831 1184.1 NA 4.90151791311803 0.000910915492957746 0.0477996478873239 0.0438482394366197 NA 113 19 8.09169005605164e-05
1832 1222.1 NA 4.7963615100831 0.000922183098591549 0.0480102112676056 0.0440771126760563 NA 100 40 9.93355918265075e-05
1832 1222.1 NA 4.7963615100831 0.000922183098591549 0.0480102112676056 0.0440771126760563 NA 100 7 9.93355918265075e-05
1833 1226.7 NA 4.94070649556818 0.000933450704225352 0.0482221830985915 0.0443 NA 103 32 0.000112369994761787
1834 1258.9 NA 4.73511106744411 0.000943661971830986 0.0484348591549296 0.0445281690140845 NA 112 1 0.0001819981893023
1834 1258.9 NA 4.73511106744411 0.000943661971830986 0.0484348591549296 0.0445281690140845 NA 112 53 0.0001819981893023
1835 1370.3 NA 4.89009100422265 0.000954577464788732 0.0486468309859155 0.0447524647887324 NA 87 5 0.000130631248191076
1835 1370.3 NA 4.89009100422265 0.000954577464788732 0.0486468309859155 0.0447524647887324 NA 87 47 0.000130631248191076
