Taxon,Region,FirstRecord
,Africa,
,Americas,
,Asia and the Pacific,
,Europe and Central Asia,
Abacarus hystrix,Americas,1993
Abaeis nicippe,Americas,2013
Abbottina rivularis,Asia and the Pacific,1960
Abbottina rivularis,Europe and Central Asia,1958
Abelia chinensis,Asia and the Pacific,1843
Abelia grandiflora,Asia and the Pacific,1983
Abelia schumanni,Asia and the Pacific,1938
Abelia uniflora,Asia and the Pacific,1888
Abelmoschus esculentus,Americas,1881
Abelmoschus esculentus,Asia and the Pacific,1991
Abelmoschus manihot,Americas,1906
Abelmoschus manihot,Asia and the Pacific,1843
Abelmoschus moschatus,Americas,1881
Abelmoschus moschatus,Asia and the Pacific,1891
Abgrallaspis cyanophylli,Americas,1910
Abgrallaspis cyanophylli,Asia and the Pacific,1912
Abgrallaspis cyanophylli,Europe and Central Asia,1900
Abia fasciata,Americas,1987
Abies alba,Asia and the Pacific,1845
Abies alba,Europe and Central Asia,1745
Abies amabilis,Asia and the Pacific,1940
Abies amabilis,Europe and Central Asia,1850
Abies balsamea,Asia and the Pacific,1843
Abies balsamea,Europe and Central Asia,1830
Abies cephalonica,Asia and the Pacific,1843
Abies cephalonica,Europe and Central Asia,1875
Abies concolor,Asia and the Pacific,1920
Abies concolor,Europe and Central Asia,1853
Abies fraseri,Asia and the Pacific,1906
Abies fraseri,Europe and Central Asia,1879
Abies grandis,Asia and the Pacific,1906
Abies grandis,Europe and Central Asia,1890
Abies homolepis,Asia and the Pacific,1920
Abies homolepis,Europe and Central Asia,2016
Abies koreana,Europe and Central Asia,1890
Abies lasiocarpa,Europe and Central Asia,1890
Abies magnifica,Europe and Central Asia,2005
Abies mariesii,Europe and Central Asia,1860
Abies nordmanniana,Asia and the Pacific,1888
Abies nordmanniana,Europe and Central Asia,1860
Abies pindrow,Asia and the Pacific,1940
Abies pinsapo,Asia and the Pacific,1843
Abies procera,Asia and the Pacific,1843
Abies procera,Europe and Central Asia,1880
Abies religiosa,Asia and the Pacific,1843
Abies sachalinensis,Europe and Central Asia,1860
Abies sibirica,Asia and the Pacific,1920
Abies sibirica,Europe and Central Asia,1826
Abies spectabilis,Asia and the Pacific,1843
Abies veitchii,Europe and Central Asia,2012
Ablattaria laevigata,Europe and Central Asia,1984
Ablerus chionaspidis,Europe and Central Asia,1972
Ablerus clisiocampae,Europe and Central Asia,1953
Ablerus perspeciosus,Europe and Central Asia,1972
Abra segmentum,Europe and Central Asia,1955
Abramis brama,Asia and the Pacific,1949
Abramis brama,Europe and Central Asia,1600
