Taxon,Region,FirstRecord
,Africa,
,Americas,
,Asia and the Pacific,
,Europe and Central Asia,
Abies alba,Europe and Central Asia,1912
Ablerus clisiocampae,Europe and Central Asia,1953
Abramis brama,Europe and Central Asia,1985
Abrus precatorius,Americas,1971
Abutilon theophrasti,Americas,1860
Abutilon theophrasti,Asia and the Pacific,657
Abutilon theophrasti,Europe and Central Asia,1869
Acacia baileyana,Africa,1919
Acacia baileyana,Americas,1905
Acacia cyclops,Africa,1839
Acacia cyclops,Americas,1907
Acacia cyclops,Europe and Central Asia,1929
Acacia dealbata,Africa,1858
Acacia dealbata,Americas,1869
Acacia dealbata,Asia and the Pacific,1869
Acacia dealbata,Europe and Central Asia,1835
Acacia decurrens,Africa,1885
Acacia decurrens,Asia and the Pacific,1871
Acacia elata,Africa,1937
Acacia longifolia,Africa,1827
Acacia longifolia,Americas,1905
Acacia longifolia,Asia and the Pacific,1896
Acacia longifolia,Europe and Central Asia,1989
Acacia mangium,Americas,1970
Acacia mearnsii,Africa,1858
Acacia mearnsii,Americas,1910
Acacia mearnsii,Asia and the Pacific,1899
Acacia mearnsii,Europe and Central Asia,1968
Acacia melanoxylon,Africa,1848
Acacia melanoxylon,Americas,1800
Acacia melanoxylon,Asia and the Pacific,1918
Acacia melanoxylon,Europe and Central Asia,1968
Acacia paradoxa,Africa,1858
Acacia paradoxa,Asia and the Pacific,1910
Acacia podalyriifolia,Africa,1942
Acacia provincialis,Europe and Central Asia,1862
Acacia pycnantha,Africa,1892
Acacia pycnantha,Europe and Central Asia,1968
Acacia saligna,Africa,1833
Acacia saligna,Europe and Central Asia,1827
Acacia verticillata,Asia and the Pacific,1945
Acaena agnipila,Asia and the Pacific,1870
Acaena novae-zelandiae,Americas,1067
Acaena novae-zelandiae,Europe and Central Asia,1901
Acalypha virginica,Europe and Central Asia,1760
Acanthogobius flavimanus,Americas,1998
Acanthogobius flavimanus,Asia and the Pacific,1971
Acantholyda erythrocephala,Americas,1925
Acanthoscelides obtectus,Europe and Central Asia,1976
Acanthospermum australe,Africa,1931
Acanthospermum hispidum,Africa,1917
Acanthospermum hispidum,Asia and the Pacific,1917
Acanthus mollis,Asia and the Pacific,1953
Acanthus mollis,Europe and Central Asia,1820
Acartia tonsa,Europe and Central Asia,1916
Acentrogobius pflaumii,Asia and the Pacific,1996
Acer negundo,Europe and Central Asia,1688
Acer platanoides,Americas,1756
Acer pseudoplatanus,Americas,1844
Acer pseudoplatanus,Asia and the Pacific,1879
