Year,OEDC,BRICS,Rest,World_Historic
1905,,,,1.047
1906,,,,1.183
1907,,,,1.279
1908,,,,1.432
1909,,,,1.562
1910,,,,1.513
1911,,,,1.651
1912,,,,2.116
1913,,,,2.137
1914,,,,1.654
1915,,,,1.549
1916,,,,1.647
1917,,,,1.595
1918,,,,1.406
1919,,,,1.729
1920,,,,1.94
1921,,,,1.82
1922,,,,2.048
1923,,,,2.29
1924,,,,2.636
1925,,,,2.95
1926,,,,3.102
1927,,,,3.28
1928,,,,3.3
1929,,,,6.504
1930,,,,5.461
1931,,,,5.08
1932,,,,5.308
1933,,,,6.142
1934,,,,6.776
1935,,,,7.33
1936,,,,8.205
1937,,,,8.807
1938,,,,9.336
1939,,,,8.462
1940,,,,8.554
1941,,,,8.147
1942,,,,7.87
1943,,,,7.42
1944,,,,6.906
1945,,,,7.293
1946,,,,8.732
1947,,,,10.493
1948,,,,11.871
1949,,,,12.914
1950,,,,14.518
1951,,,,15.142
1952,,,,16.438
1953,,,,19.277
1954,,,,20.713
1955,,,,21.837
1956,,,,23.402
1957,,,,24.745
1958,,,,26.707
1959,,,,28.396
1960,,,,30.034
1961,24.9238,2.0537,4.5927,31.5702
1962,26.2606,2.197,5.4905,33.9481
1963,28.3484,2.4621,5.5831,36.3936
1964,30.2157,2.6021,8.2082,41.026
1965,32.6404,3.697,9.8055,46.1429
1966,35.2615,4.9723,10.9351,51.1689
1967,37.7979,5.1251,12.2599,55.1829
1968,39.5226,5.806,13.5793,58.9079
1969,41.4068,6.055,14.4574,61.9192
1970,43.9775,7.5462,16.6216,68.1453
1971,45.089,8.7422,17.9744,71.8056
1972,47.6939,10.2881,19.5751,77.5571
1973,51.5208,11.5016,21.1671,84.1895
1974,47.3318,10.9801,22.7758,81.0877
1975,51.2133,12.2254,25.4599,88.8986
1976,54.2129,14.4964,27.5452,96.2545
1977,53.6784,18.316,28.8012,100.7956
1978,57.6232,19.6647,30.3706,107.6585
1979,59.3635,22.927,30.0604,112.3509
1980,58.0682,26.1139,31.7001,115.8822
1981,55.8125,25.4128,33.1988,114.4241
1982,53.2618,26.1207,34.7741,114.1566
1983,57.8398,28.4313,38.3103,124.5814
1984,58.2124,32.4682,39.4981,130.1787
1985,55.8047,30.0154,42.4673,128.2874
1986,56.0312,31.7047,44.6188,132.3547
1987,56.5614,35.6297,46.1458,138.3369
1988,56.3038,40.6423,46.9864,143.9325
1989,56.8386,40.8887,44.2617,141.989
1990,52.1986,54.326,29.9882,136.5128
1991,49.9411,56.6538,27.0772,133.6721
1992,48.737,51.1299,24.8637,124.7306
1993,50.9047,46.5951,22.2268,119.7266
1994,50.2449,49.6891,21.3289,121.2629
1995,51.2614,56.4896,21.5015,129.2525
1996,52.8854,57.6141,23.0978,133.5973
1997,52.6488,59.8666,23.6692,136.1846
1998,52.3448,60.4144,24.3564,137.1156
1999,52.2136,62.3815,24.7842,139.3793
2000,49.6454,61.4018,25.1608,136.208
2001,50.1292,62.7324,25.3776,138.2392
2002,49.1849,66.5477,26.2582,141.9908
2003,51.4985,69.0259,26.7677,147.2921
2004,50.1089,74.8196,29.535,154.4635
2005,47.7918,78.2335,29.1286,155.1539
2006,49.2392,82.6975,30.0303,161.967
2007,49.179,87.3612,31.0107,167.5509
2008,39.3322,85.9957,29.2453,154.5732
2009,43.8133,87.8113,30.8786,162.5032
2010,47.0688,91.3685,33.0283,171.4656
